City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
90,Victoria,HK,88.0,clear sky,22.2855,114.1577,Mini Hotel Central
91,Busselton,AU,71.67,broken clouds,-33.65,115.3333,Observatory Guest House
93,Santa Rosa,PH,89.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
98,Amahai,ID,85.53,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
103,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.0833,Scoop Guest House
105,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
111,Saint-Pierre,RE,77.0,moderate rain,-21.3393,55.4781,Lindsey Hôtel
115,Namibe,AO,78.91,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
116,Awbari,LY,77.72,scattered clouds,26.5921,12.7805,فندق أوباري
117,Maumere,ID,84.54,clear sky,-8.6199,122.2111,Sylvia Hotel
119,Guanay,BO,71.89,scattered clouds,-15.4975,-67.8797,Hotel Ritzy
122,Saint George,US,70.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
128,Vao,NC,74.62,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
130,Alta Floresta,BR,70.18,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
134,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
137,Buchanan,LR,74.39,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
151,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
153,Buala,SB,85.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
158,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
159,Coahuayana,MX,71.65,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
162,Manokwari,ID,83.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
166,Salimbalan,PH,84.99,broken clouds,8.2742,124.7219,A-FARM
167,Minab,IR,75.2,haze,27.1467,57.0801,Bam campground
168,Kavaratti,IN,83.62,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
171,Gizo,SB,83.97,overcast clouds,-8.103,156.8419,Imagination Island
172,Nisia Floresta,BR,78.8,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
174,Nattam,IN,87.8,haze,10.2333,78.2333,M.P.B. இல்லம்
177,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
178,Ojinaga,MX,73.4,clear sky,29.5667,-104.4167,Suites Las Palmas
182,Mankera,PK,72.0,few clouds,31.3866,71.4407,Haider Wood Supplier
183,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
184,San Felipe,VE,72.72,scattered clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
186,Rajpipla,IN,80.6,scattered clouds,21.8667,73.5,Government Guest House
196,Catuday,PH,80.76,broken clouds,16.2923,119.8062,GResort
204,Jiangyou,CN,70.84,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
206,Gboko,NG,79.27,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
208,Hambantota,LK,80.6,scattered clouds,6.1241,81.1185,Bungalow 63
209,Luganville,VU,86.22,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
210,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
212,Isangel,VU,82.8,broken clouds,-19.55,169.2667,Tanna Lodge
217,Kathu,TH,87.01,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
228,Basco,PH,78.21,few clouds,20.4487,121.9702,Nathaniel's Lodge
230,San Fernando,PH,89.6,broken clouds,15.0286,120.6898,Maharlika Hostel
233,Mansa,IN,73.98,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
235,Kismayo,SO,79.95,light rain,-0.3582,42.5454,Agan-Hotel
236,Felipe Carrillo Puerto,MX,73.13,clear sky,19.5833,-88.05,Hotel La Ceiba
240,Tabuk,PH,88.07,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
242,Hobyo,SO,83.61,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
245,Alyangula,AU,86.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
246,Yola,NG,81.39,broken clouds,9.2,12.4833,Muna Hotel
249,Banda Aceh,ID,84.56,overcast clouds,5.5577,95.3222,Sulthan Hotel International
